geo_altitude,baro_altitude,altitude_diff
12595.86,11887.2,708.6599999999999
11407.14,10698.48,708.6599999999999
11704.32,10995.66,708.6599999999999
11681.46,10972.8,708.6599999999999
13205.46,12496.8,708.6599999999999
11681.46,10972.8,708.6599999999999
11681.46,10972.8,708.6599999999999
11681.46,10972.8,708.6599999999999
11681.46,10972.8,708.6599999999999
13822.68,13114.02,708.6599999999999
12298.68,11590.02,708.6599999999999
12900.66,12192.0,708.6599999999999
11376.66,10668.0,708.6599999999999
12900.66,12192.0,708.6599999999999
11986.26,11277.6,708.6599999999999
11986.26,11277.6,708.6599999999999
12397.74,11689.08,708.6599999999999
11064.24,10355.58,708.6599999999999
10805.16,10096.5,708.6599999999999
11689.08,10980.42,708.6599999999999
12900.66,12192.0,708.6599999999999
12283.44,11582.4,701.0400000000009
11673.84,10972.8,701.0400000000009
12893.04,12192.0,701.0400000000009
11003.28,10302.24,701.0400000000009
12283.44,11582.4,701.0400000000009
12283.44,11582.4,701.0400000000009
13197.84,12496.8,701.0400000000009
11673.84,10972.8,701.0400000000009
10287.0,9585.96,701.0400000000009
11673.84,10972.8,701.0400000000009
12885.42,12184.38,701.0400000000009
10599.42,9898.38,701.0400000000009
12283.44,11582.4,701.0400000000009
11369.04,10668.0,701.0400000000009
10485.12,9784.08,701.0400000000009
11673.84,10972.8,701.0400000000009
11673.84,10972.8,701.0400000000009
11369.04,10668.0,701.0400000000009
12893.04,12192.0,701.0400000000009
12283.44,11582.4,701.0400000000009
12580.62,11879.58,701.0400000000009
12283.44,11582.4,701.0400000000009
11673.84,10972.8,701.0400000000009
12283.44,11582.4,701.0400000000009
12893.04,12192.0,701.0400000000009
11673.84,10972.8,701.0400000000009
11986.26,11285.22,701.0400000000009
11673.84,10972.8,701.0400000000009
12893.04,12192.0,701.0400000000009
11986.26,11285.22,701.0400000000009
11361.42,10660.38,701.0400000000009
11673.84,10972.8,701.0400000000009
11369.04,10668.0,701.0400000000009
10759.44,10058.4,701.0400000000009
11369.04,10668.0,701.0400000000009
12283.44,11582.4,701.0400000000009
