callsign,velocity,baro_altitude,geo_altitude
AAL1088 ,240.79,10972.8,11650.98
DKH1291 ,240.77,9182.1,9822.18
ENT4996 ,240.76,10774.68,11277.6
AAL2010 ,240.76,9448.8,10050.78
ETD203  ,240.76,10957.56,11628.12
PGT1157 ,240.76,10363.2,10797.54
SJO237  ,240.76,10972.8,11704.32
ASA360  ,240.75,10058.4,10645.14
TVF7530 ,240.75,11277.6,11696.7
RYR25ZJ ,240.73,10972.8,11269.98
MSR775  ,240.71,10972.8,11430.0
SXS47B  ,240.7,11277.6,11666.22
AEE5EF  ,240.69,10972.8,11277.6
TOM272  ,240.68,10668.0,11117.58
RYR30TJ ,240.67,11300.46,11734.8
RYR212P ,240.65,11163.3,11551.92
HLF9838 ,240.64,11887.2,12245.34
ATN3309 ,240.64,10668.0,11285.22
TKJ2GF  ,240.64,11887.2,12344.4
THY28N  ,240.63,11887.2,12321.54
BAW143  ,240.63,12496.8,12954.0
EWG3YZ  ,240.63,10660.38,11117.58
ISR782  ,240.62,11277.6,11826.24
EDV4630 ,240.62,8054.34,8503.92
CCA1917 ,240.62,11003.28,11704.32
IBE06DW ,240.61,9753.6,10241.28
BAW132  ,240.61,12192.0,12649.2
VOE4GF  ,240.6,11277.6,11788.14
AAL2770 ,240.6,11582.4,12275.82
Unknown,240.59,10652.76,11056.62
JBU306  ,240.59,10668.0,11308.08
UAL1375 ,240.58,10668.0,11323.32
IGO57EC ,240.58,10980.42,11643.36
AMX694  ,240.56,10972.8,11650.98
LPE2457 ,240.56,10668.0,11338.56
JJP156  ,240.55,10363.2,11056.62
CAL105  ,240.55,10363.2,11102.34
LPE2468 ,240.54,11277.6,11963.4
SWR4TF  ,240.54,9753.6,10203.18
CAL919  ,240.49,10363.2,11041.38
JJA1354 ,240.48,9144.0,9784.08
MSC2998 ,240.47,10980.42,11513.82
NKS2540 ,240.47,11163.3,11887.2
IBE0445 ,240.45,5547.36,5836.92
GWC3    ,240.45,8351.52,8877.3
AAL1418 ,240.45,10363.2,10949.94
BAW6AC  ,240.44,11887.2,12268.2
DLH2P   ,240.44,12496.8,12900.66
TVS2634 ,240.43,11277.6,11635.74
UAL2434 ,240.43,9753.6,10340.34
NKS2596 ,240.42,10683.24,11346.18
FDX1440 ,240.4,10980.42,11711.94
DLH686  ,240.38,10058.4,10408.92
AAL491  ,240.37,11277.6,11971.02
KLM1602 ,240.36,12192.0,12641.58
GIA419  ,240.33,11582.4,12329.16
CSB7503 ,240.33,11277.6,11925.3
GTI700  ,240.31,8663.94,9258.3
TVF84SQ ,240.31,11277.6,11719.56
RYR5SH  ,240.3,9753.6,10393.68
TAI581  ,240.3,10980.42,11650.98
EXS49YF ,240.3,11277.6,11704.32
DAL1040 ,240.28,9090.66,9654.54
EVA697  ,240.27,12192.0,12512.04
LBT249  ,240.22,10675.62,11125.2
MAC368  ,240.22,11879.58,12382.5
MMA802  ,240.22,11628.12,12405.36
VJC860  ,240.19,8336.28,8945.88
UAE6M   ,240.19,8107.68,8663.94
RYR3312 ,240.19,10972.8,11353.8
UAL1939 ,240.16,10668.0,11308.08
CES2075 ,240.16,11582.4,11620.5
UAE46F  ,240.14,11277.6,12031.98
IBE0823 ,240.14,11277.6,11711.94
THY9YP  ,240.14,7894.32,8229.6
PAS623  ,240.13,10668.0,11399.52
CSC3910 ,240.12,10363.2,11041.38
AAL3084 ,240.1,11582.4,12283.44
SWA1230 ,240.1,10843.26,11506.2
JIA5149 ,240.1,9448.8,10050.78
TVF90HT ,240.07,11277.6,12024.36
THY3UC  ,240.07,12192.0,12588.24
THY6FY  ,240.07,10683.24,11094.72
UAE3MX  ,240.06,11582.4,11917.68
BAW814L ,240.04,11277.6,11704.32
DAL952  ,240.02,11285.22,11986.26
AFR443  ,240.0,11582.4,12131.04
FDX1423 ,239.99,11582.4,12283.44
BTK6367 ,239.99,9128.76,9745.98
ARG1314 ,239.99,11887.2,12245.34
CKK222  ,239.99,10972.8,11681.46
VOI1703 ,239.97,10972.8,11590.02
AAL2410 ,239.96,10668.0,11338.56
CMP473  ,239.96,9448.8,10081.26
AEE751  ,239.94,10668.0,11033.76
IAW1042 ,239.92,6713.22,7200.9
EWG9Y   ,239.89,11277.6,11727.18
ABX2040 ,239.89,11582.4,12237.72
MBK781  ,239.89,10972.8,11658.6
AAL1938 ,239.86,8313.42,8831.58
HKE708  ,239.86,9144.0,9768.84
GAF891  ,239.86,11590.02,12016.74
DAL899  ,239.84,10675.62,11361.42
SEH7151 ,239.84,11277.6,11711.94
UAE903  ,239.82,8061.96,8549.64
TOM5GT  ,239.82,10363.2,10782.3
UAL1870 ,239.82,10668.0,11300.46
MSC2950 ,239.81,10972.8,11750.04
CAI57TB ,239.79,10972.8,11422.38
ANA963  ,239.79,9639.3,10271.76
KLM22B  ,239.77,12192.0,12641.58
AEE2WD  ,239.74,11269.98,11696.7
DAL2950 ,239.73,9525.0,10126.98
DAL3230 ,239.73,9144.0,9700.26
Unknown,239.72,9105.9,9601.2
BAW676  ,239.72,11277.6,11711.94
LAO882  ,239.72,11582.4,12390.12
UAL760  ,239.69,11887.2,12275.82
EWG19K  ,239.68,10751.82,11209.02
ADO32   ,239.64,7924.8,8328.66
AIC2640 ,239.61,10805.16,11582.4
TUI65H  ,239.58,10668.0,11109.96
RYR15DB ,239.58,10111.74,10561.32
TOM9PX  ,239.58,11277.6,11833.86
Unknown,239.57,10972.8,11673.84
RPA5697 ,239.56,9448.8,10027.92
CJT990  ,239.56,10972.8,11605.26
KLM40D  ,239.55,10972.8,11384.28
EDV5116 ,239.54,8229.6,8747.76
AIQ4122 ,239.53,11574.78,12329.16
AKJ137W ,239.53,10096.5,10782.3
VTSRJ   ,239.53,13098.78,13601.7
