icao24,callsign,velocity,baro_altitude,geo_altitude,vertical_rate
aa6914,AAL1268 ,241.91,12374.88,13098.78,6.18
7805a0,CCA168  ,139.92,2110.74,2270.76,6.18
4079d0,CFE48A  ,219.41,7399.02,7810.5,6.18
ac6db1,N90JX   ,82.33,2278.38,2407.92,6.18
344344,IBE0269 ,197.47,5417.82,5730.24,6.18
4bb28f,THY8UG  ,227.66,6873.24,7200.9,6.18
4cade2,RYR47FF ,222.88,11010.9,11361.42,6.18
a446b6,DAL2353 ,238.73,9326.88,9890.76,6.18
c07193,WJA45   ,252.6,8663.94,9037.32,6.18
39e684,AFR22ZB ,199.86,11033.76,11422.38,6.18
400afe,EFW2794 ,153.34,3154.68,3307.08,6.18
e49ce4,MWM5800 ,115.29,1089.66,1158.24,6.18
847c18,JJP804  ,234.24,9395.46,9860.28,6.18
7c7cce,JST988  ,232.65,6827.52,6911.34,6.18
899094,EVA129  ,258.3,11285.22,12092.94,6.18
4d2347,RYR212  ,226.41,9250.68,9601.2,6.18
aa59d7,EJM182  ,223.37,8183.88,8702.04,6.18
8a08e2,Unknown,164.41,3017.52,3162.3,6.18
346111,VLG38NA ,219.96,9220.2,9593.58,6.18
a32c3e,AAL2505 ,202.48,6103.62,6423.66,6.18
7c6ae3,VOZ672  ,94.14,883.92,1043.94,6.18
49d41e,TVS9EK  ,237.69,9357.36,9761.22,6.18
c06403,WJA615  ,195.82,6004.56,6263.64,6.18
0100a6,MSR682  ,271.16,9547.86,10226.04,6.18
489226,ENT99YF ,237.31,8115.3,8503.92,6.18
a4f05d,RPA4642 ,215.51,7711.44,8168.64,6.18
71bf02,KAL689  ,222.34,7955.28,8473.44,6.18
405d11,EZY52PE ,225.95,9265.92,9829.8,6.18
152004,Unknown,39.93,8717.28,9601.2,6.18
a5325b,DAL225  ,223.35,6156.96,6423.66,6.18
80169d,IGO469  ,219.35,7886.7,8290.56,6.18
e49933,CO96    ,111.95,2712.72,2918.46,6.18
89638d,ABY398  ,209.89,5356.86,5646.42,6.18
70e064,KME782  ,223.97,9944.1,10561.32,6.18
40643a,EZY81AR ,216.89,8008.62,8397.24,6.18
a7a59f,JBU757  ,208.02,5745.48,6073.14,6.18
a923ef,UAL224  ,227.27,8397.24,8892.54,6.18
3c65a1,DLH410  ,247.57,7833.36,8214.36,6.18
c058f7,NOJ53   ,182.0,10226.04,10797.54,5.85
4cae67,RYR49UA ,226.56,9014.46,9364.98,5.85
4690e9,AEE992  ,104.58,1287.78,1371.6,5.85
a8df06,DAL1261 ,247.51,9906.0,10485.12,5.85
4cac87,RYR99BB ,123.79,891.54,1005.84,5.85
a3b87f,DAL1040 ,240.28,9090.66,9654.54,5.85
780b01,CSC8888 ,207.34,9349.74,9883.14,5.85
a7130f,Unknown,89.97,594.36,655.32,5.85
801776,GOA5605 ,91.12,2857.5,2918.46,5.85
a32367,DAL2919 ,207.38,6499.86,6858.0,5.85
a74992,JIA5540 ,228.89,7170.42,7589.52,5.85
a53001,GPD433  ,101.39,533.4,624.84,5.85
84b5ee,SFJ66   ,242.24,8595.36,9174.48,5.85
a1cb05,JBU72   ,233.0,6408.42,6728.46,5.85
4d2386,RYR7046 ,192.81,5494.02,5753.1,5.85
a449a2,UAL1613 ,236.77,9433.56,9989.82,5.85
408129,EMC5    ,74.6,1554.48,1676.4,5.85
4bcda9,SXS4UU  ,218.57,8458.2,8862.06,5.85
e80411,ARE4148 ,209.99,7711.44,7680.96,5.85
780ab3,HKE152  ,236.57,8854.44,9456.42,5.85
ac351f,N886LF  ,85.65,1790.7,1882.14,5.85
471f04,WMT7PV  ,157.35,3246.12,3383.28,5.85
a86a7e,RPA3689 ,184.19,4526.28,4754.88,5.85
a037b9,DAL2510 ,216.46,10424.16,11033.76,5.85
4d2247,RYR26UL ,216.68,9989.82,10408.92,5.85
a9d5e5,UAL1803 ,179.44,3352.8,3528.06,5.85
75041f,MXD171  ,211.88,9288.78,9852.66,5.85
4baa8d,THY94U  ,224.36,10668.0,11033.76,5.85
407765,GMA19   ,104.34,4053.84,4236.72,5.85
71c352,KAL895  ,163.5,3154.68,3337.56,5.85
76cef2,SIA11   ,256.29,9944.1,10607.04,5.85
750582,MXD1236 ,187.84,6400.8,6766.56,5.85
